ImgUrl,ProductId,xmin,ymin,xmax,ymax,ImageQuality,SceneType,Rotation,TaskItemId,TaskId,RequestId,IsMaskQA,IsQAed
https://fileman.clobotics.cn/api/file/9a3b4435507311fa9518857c23e3ef8a,579,0.37674880027771,0.767021119594574,0.414752870798111,0.858740508556366,[],[],0,37286431,613273,0113a834-e713-45e5-9854-6b54df344f32,0,1
https://fileman.clobotics.cn/api/file/9a3b4435507311fa9518857c23e3ef8a,9,0.224076986312866,0.56840056180954,0.252554804086685,0.646916151046753,[],[],0,37286431,613273,0113a834-e713-45e5-9854-6b54df344f32,0,1
https://fileman.clobotics.cn/api/file/9a3b4435507311fa9518857c23e3ef8a,1047936,0.122482562078411,0.369119420989144,0.482524325955412,0.552472858866104,[],[],0,37286431,613273,0113a834-e713-45e5-9854-6b54df344f32,0,1
https://fileman.clobotics.cn/api/file/45a2fa42a3e8b5f78908423362e76548,102,0.234187409281731,0.217030376195908,0.258592963218689,0.302539050579071,[],[],0,37286433,613273,01307654-c81d-4c49-ad64-79a86353ea99,0,1
https://fileman.clobotics.cn/api/file/45a2fa42a3e8b5f78908423362e76548,1047936,0.0949423956174588,0.315027897453381,0.501489903697279,0.586069914885041,[],[],0,37286433,613273,01307654-c81d-4c49-ad64-79a86353ea99,0,1
https://fileman.clobotics.cn/api/file/45a2fa42a3e8b5f78908423362e76548,1047936,0.25480514455732,0.304098783847266,0.494599267967112,0.316120808813993,[],[],0,37286433,613273,01307654-c81d-4c49-ad64-79a86353ea99,0,1
https://fileman.clobotics.cn/api/file/45a2fa42a3e8b5f78908423362e76548,1047936,0.245158254535087,0.581698269442595,0.501489903697279,0.605742319376049,[],[],0,37286433,613273,01307654-c81d-4c49-ad64-79a86353ea99,0,1
https://fileman.clobotics.cn/api/file/45a2fa42a3e8b5f78908423362e76548,1047936,0.327845883297084,0.603556496654826,0.495977395113146,0.618857255703387,[],[],0,37286433,613273,01307654-c81d-4c49-ad64-79a86353ea99,0,1
https://fileman.clobotics.cn/api/file/8b455392d22ef5bfbca42d98d1d0487c,5,0.144138410687447,0.244428589940071,0.172676280140877,0.307738989591599,"[""keep-out""]",[],0,37286434,613273,01a9f778-1e49-4608-b0e5-e8dd18b64b4d,0,1
https://fileman.clobotics.cn/api/file/8b455392d22ef5bfbca42d98d1d0487c,5,0.17355540394783,0.244771018624306,0.199351280927658,0.306224882602692,"[""keep-out""]",[],0,37286434,613273,01a9f778-1e49-4608-b0e5-e8dd18b64b4d,0,1
